player_name,club,position,dominant_foot,nationality_region,age,height_cm,overall_rating,potential_rating,minutes_last_season,goals_last_season,assists_last_season,xg_per90,xa_per90,progressive_actions_per90,pressures_per90,fitness_score,injury_days_last_12m,matches_missed_last_12m,contract_years_left,wage_eur_week,international_caps,champions_league_minutes,club_reputation,league_strength,form_index,sell_on_potential,release_clause_ratio,market_value_eur,data_source,valuation_source,source_rank,source_url
Rafael Santos,United Town,CB,Right,EU,23,182,76.0,84.6,2362,1,0,0.04,0.06,1.01,8.08,81.7,2,0,3.0,38200,3,70,82.8,76,74.4,86.7,3.2,6120000,synthetic_training_sample,model_generated,,
Milan Schmidt,Inter Town,AM,Right,EU,28,170,75.2,75.1,2784,3,8,0.13,0.14,5.57,12.47,77.3,12,2,0.6,12600,9,154,89.8,84,82.1,46.5,2.39,6110000,synthetic_training_sample,model_generated,,
Felix Kovac,United SC,CM,Right,EU,29,179,82.3,87.6,3573,3,5,0.11,0.17,5.71,21.7,97.4,10,1,0.8,13600,12,142,75.7,84,78.4,67.4,1.17,6100000,synthetic_training_sample,model_generated,,
Theo Popescu,Sporting CF,W,Left,EU,25,177,77.6,77.8,2632,0,7,0.21,0.21,6.83,9.84,75.9,4,0,1.4,10100,8,0,65.5,69,70.7,45.2,2.34,6100000,synthetic_training_sample,model_generated,,
Noah Mendes,Inter FC,CB,Right,Asia,21,186,81.5,93.1,3026,3,1,0.08,0.05,2.1,6.15,66.6,23,4,1.0,23400,7,161,63.8,69,78.8,100.0,1.84,6080000,synthetic_training_sample,model_generated,,
Leo Aydin,Inter FC,GK,Right,UK/Ireland,22,194,81.2,81.0,2052,0,0,0.1,0.0,0.62,0.01,65.0,19,3,1.6,37300,5,461,94.2,91,65.6,50.4,2.16,6080000,synthetic_training_sample,model_generated,,
Enzo Martinez,Athletic Club,ST,Left,North America,20,182,79.2,78.1,2838,6,3,0.31,0.09,4.07,12.82,72.5,15,2,1.8,22300,7,181,78.9,84,72.3,46.4,1.91,6050000,synthetic_training_sample,model_generated,,
Yusuf Bennett,United Town,CM,Left,UK/Ireland,21,179,74.0,83.8,1524,0,1,0.1,0.14,3.3,22.63,82.1,18,2,2.2,27200,3,489,85.5,84,79.4,95.0,1.49,6040000,synthetic_training_sample,model_generated,,
Luca Schmidt,Real CF,FB,Left,Africa,22,185,77.6,86.3,2244,1,3,0.07,0.14,3.18,12.42,77.6,20,2,0.4,25800,4,182,71.6,76,68.5,79.1,1.33,6020000,synthetic_training_sample,model_generated,,
Arda Hansen,Racing CF,W,Right,EU,23,176,77.3,75.9,2741,6,6,0.13,0.19,6.91,10.21,66.9,35,5,5.7,21000,1,210,81.2,76,66.0,54.3,2.44,6010000,synthetic_training_sample,model_generated,,
Daniel Popescu,City Club,CM,Right,EU,24,182,76.5,77.9,2866,1,0,0.07,0.12,4.53,22.56,93.9,35,5,2.1,36700,11,320,91.5,84,59.9,47.4,2.39,6010000,synthetic_training_sample,model_generated,,
Noah Bennett,Sporting FC,CM,Right,EU,27,186,77.7,85.5,2506,0,2,0.03,0.12,5.55,18.59,62.6,2,0,3.0,19700,9,450,77.0,69,76.8,79.4,1.5,6000000,synthetic_training_sample,model_generated,,
Nico Santos,Sporting CF,DM,Right,EU,20,182,83.3,85.0,3614,5,5,0.16,0.15,4.1,19.39,86.3,4,0,5.3,12000,6,0,60.0,62,89.0,68.2,1.98,5990000,synthetic_training_sample,model_generated,,
Theo Kovac,United Town,W,Right,EU,30,174,77.4,76.4,3610,7,8,0.21,0.2,5.86,18.77,97.7,8,1,1.8,18700,6,461,83.9,76,70.9,33.8,1.88,5980000,synthetic_training_sample,model_generated,,
Enzo Martinez,Racing SC,CM,Right,EU,26,182,80.3,82.7,3585,1,5,0.1,0.14,5.57,15.27,68.0,14,2,4.6,38700,5,474,81.4,69,70.5,48.1,2.05,5980000,synthetic_training_sample,model_generated,,
Rafael Popescu,Sporting Club,DM,Right,Africa,29,178,81.9,81.0,3091,2,3,0.03,0.04,3.79,14.5,76.8,25,3,2.9,34900,13,756,93.1,96,64.0,25.7,1.7,5960000,synthetic_training_sample,model_generated,,
Hugo Martinez,Real CF,W,Left,South America,20,176,80.0,81.1,3420,7,4,0.3,0.19,6.21,17.61,80.3,77,13,3.8,19900,5,373,80.9,76,76.5,43.1,1.93,5930000,synthetic_training_sample,model_generated,,
Milan Okafor,Olympique Town,FB,Both,EU,26,176,83.9,82.0,3464,2,5,0.01,0.12,4.74,17.79,92.7,16,3,1.3,22500,7,0,56.2,69,69.0,45.4,1.7,5920000,synthetic_training_sample,model_generated,,
Arda Costa,Olympique Town,AM,Right,South America,22,182,77.6,78.9,3215,3,4,0.23,0.22,5.61,12.81,71.7,2,0,1.9,17800,5,0,67.5,69,78.6,61.5,1.47,5920000,synthetic_training_sample,model_generated,,
Hugo Kovac,City Club,FB,Right,South America,30,173,81.6,85.6,2976,0,2,0.1,0.18,6.01,14.17,88.6,57,8,5.7,15000,5,419,83.2,76,68.8,46.5,1.37,5910000,synthetic_training_sample,model_generated,,
Adam Bennett,City Town,CB,Right,Asia,23,188,77.9,79.2,2893,3,1,0.14,0.03,1.93,8.42,89.0,15,2,2.7,22200,2,462,88.1,76,67.3,47.2,1.83,5910000,synthetic_training_sample,model_generated,,
Noah Martinez,Racing CF,W,Right,South America,27,165,70.7,76.8,1165,2,3,0.15,0.18,5.81,12.67,71.0,10,1,1.6,17500,3,506,93.1,91,75.0,65.8,1.6,5900000,synthetic_training_sample,model_generated,,
Arda Santos,Sporting Club,W,Right,UK/Ireland,28,173,76.8,78.3,1681,4,2,0.06,0.19,6.74,13.24,71.8,24,4,3.3,12800,7,496,95.3,84,65.1,37.1,1.56,5900000,synthetic_training_sample,model_generated,,
Nico Fernandez,Inter Town,GK,Both,EU,24,196,80.6,83.0,3532,0,0,0.04,0.11,0.0,0.47,91.7,1,0,3.3,46200,9,553,79.5,76,68.7,46.9,2.19,5890000,synthetic_training_sample,model_generated,,
Enzo Santos,Olympique CF,W,Right,South America,27,189,73.1,75.1,3016,3,4,0.06,0.06,5.38,13.8,85.5,19,3,3.4,10800,9,329,78.9,84,74.1,45.8,1.87,5890000,synthetic_training_sample,model_generated,,
Alex Costa,Inter CF,AM,Left,Africa,31,177,83.3,80.9,3298,9,4,0.15,0.3,6.85,13.6,74.0,15,2,1.0,24200,6,357,88.1,84,83.3,25.0,1.48,5880000,synthetic_training_sample,model_generated,,
Luca Mendes,United Town,AM,Left,EU,24,178,71.8,77.7,2732,5,1,0.09,0.2,6.31,16.2,83.4,34,5,2.5,9400,2,0,70.2,69,63.3,75.1,1.85,5880000,synthetic_training_sample,model_generated,,
Noah Garcia,Real Club,CM,Right,EU,21,173,80.1,88.0,3563,0,3,0.0,0.09,6.51,21.35,88.7,20,3,1.1,16600,2,276,70.9,76,73.2,90.4,1.81,5880000,synthetic_training_sample,model_generated,,
Elias Okafor,United CF,FB,Right,EU,22,174,80.3,82.8,3564,2,5,0.0,0.09,5.55,14.13,72.0,37,5,0.9,35500,6,624,87.9,84,78.8,59.6,1.8,5860000,synthetic_training_sample,model_generated,,
Oscar Garcia,Racing CF,CB,Both,EU,21,183,81.7,83.7,3569,2,0,0.01,0.0,2.3,12.11,81.9,4,1,1.4,10600,3,760,85.6,76,66.1,67.0,1.83,5840000,synthetic_training_sample,model_generated,,
Oscar Popescu,United FC,FB,Left,North America,23,181,81.2,82.4,3227,0,3,0.0,0.12,5.38,16.22,82.5,20,3,1.7,24900,5,675,76.4,76,62.6,56.8,1.92,5840000,synthetic_training_sample,model_generated,,
Theo Ndiaye,Real Town,FB,Right,South America,27,177,87.1,84.8,3494,1,4,0.0,0.09,6.08,10.5,70.0,1,0,2.4,17900,8,529,81.0,84,71.1,31.6,1.46,5830000,synthetic_training_sample,model_generated,,
Nico Okafor,Sporting Club,FB,Right,EU,27,182,77.4,79.4,2200,0,2,0.03,0.14,3.99,14.0,73.8,30,4,3.1,27900,7,47,91.2,84,60.7,54.3,1.25,5830000,synthetic_training_sample,model_generated,,
Karim Petrov,Real Club,CM,Right,Africa,23,180,83.5,84.9,2799,3,2,0.06,0.13,5.84,16.84,72.8,54,7,2.8,55300,6,430,67.5,62,66.2,52.0,1.58,5830000,synthetic_training_sample,model_generated,,
Ivan Bennett,Athletic FC,DM,Right,South America,21,182,79.9,84.9,4038,1,2,0.12,0.07,2.97,16.44,83.1,30,5,1.0,11200,6,39,69.5,76,62.4,76.6,2.09,5810000,synthetic_training_sample,model_generated,,
Nico Aydin,Real Town,W,Right,North America,27,180,73.5,77.2,933,1,0,0.14,0.14,4.1,11.03,69.3,10,2,1.7,29700,4,674,99.9,84,69.8,55.0,2.11,5800000,synthetic_training_sample,model_generated,,
Adam Okafor,Real FC,DM,Right,Asia,27,187,79.6,79.9,3241,1,0,0.03,0.12,4.1,13.85,65.1,5,1,3.6,34400,11,927,97.1,84,79.1,44.5,2.39,5800000,synthetic_training_sample,model_generated,,
Arda Santos,Real FC,W,Both,South America,18,171,78.5,76.5,2071,5,2,0.11,0.18,6.73,11.56,72.9,43,6,1.3,21800,7,997,92.6,96,83.6,52.4,1.95,5790000,synthetic_training_sample,model_generated,,
Rafael Rossi,United FC,CM,Right,EU,22,183,77.6,77.5,3053,2,2,0.1,0.09,5.39,18.89,84.8,27,4,1.0,71600,4,497,94.8,91,81.1,37.7,1.56,5790000,synthetic_training_sample,model_generated,,
Felix Schmidt,United FC,GK,Right,South America,22,192,81.5,82.1,3278,0,0,0.01,0.07,0.0,1.0,83.7,9,1,5.7,32000,5,0,64.8,84,94.0,52.2,1.99,5790000,synthetic_training_sample,model_generated,,
Noah Diallo,Athletic CF,AM,Both,EU,26,174,75.9,77.1,3047,4,5,0.16,0.19,5.81,14.07,71.6,6,1,1.6,13500,4,559,92.9,76,76.5,39.8,1.76,5770000,synthetic_training_sample,model_generated,,
Yusuf Moreau,United SC,CB,Left,EU,22,194,83.6,81.3,3164,0,1,0.09,0.0,1.57,3.63,83.5,8,1,2.6,23000,6,892,96.8,76,75.1,25.9,1.4,5770000,synthetic_training_sample,model_generated,,
Daniel Silva,Olympique Town,AM,Right,South America,21,179,76.1,76.0,3207,1,5,0.09,0.14,5.52,19.66,81.3,8,1,3.8,25200,7,449,76.2,91,66.4,65.4,1.44,5770000,synthetic_training_sample,model_generated,,
Leo Dubois,Real Club,DM,Right,EU,20,179,84.4,84.5,3074,2,1,0.0,0.05,5.12,14.49,70.2,31,4,0.2,28500,5,41,62.3,54,78.3,65.7,2.49,5740000,synthetic_training_sample,model_generated,,
Ivan Bennett,Olympique Town,GK,Right,EU,29,189,82.1,83.5,3028,0,0,0.05,0.02,0.75,2.34,84.2,48,7,2.6,54300,6,723,98.3,76,60.6,50.7,1.31,5740000,synthetic_training_sample,model_generated,,
Noah Fernandez,Olympique CF,CM,Left,Africa,22,189,84.4,79.8,3275,3,6,0.11,0.14,5.56,17.8,87.9,40,5,0.7,19000,4,366,74.1,84,84.3,33.7,1.57,5740000,synthetic_training_sample,model_generated,,
Arda Diallo,United Town,CM,Right,EU,30,176,83.9,81.8,3735,3,5,0.1,0.16,5.07,21.35,94.4,5,1,1.7,44600,16,89,74.6,84,79.9,20.4,2.2,5740000,synthetic_training_sample,model_generated,,
Hugo Mendes,Inter Club,CM,Right,EU,26,179,79.9,77.0,3260,1,1,0.11,0.14,3.91,17.26,81.5,15,2,3.4,19500,7,534,94.2,96,78.1,44.6,2.29,5730000,synthetic_training_sample,model_generated,,
Oscar Kovac,Inter SC,CM,Left,Africa,21,169,76.0,78.0,3287,1,4,0.04,0.13,4.79,15.17,75.9,1,0,3.5,18100,5,550,85.9,76,90.3,60.7,1.49,5730000,synthetic_training_sample,model_generated,,
Alex Fernandez,City Club,GK,Right,South America,23,195,77.8,78.0,2713,0,0,0.0,0.1,0.82,0.0,94.0,17,2,2.6,34900,5,644,91.2,84,69.7,42.6,1.27,5720000,synthetic_training_sample,model_generated,,
Alex Kovac,United Club,CB,Right,EU,26,190,83.2,88.6,3096,1,0,0.12,0.02,2.54,9.48,79.6,9,1,1.2,20400,13,2,66.6,62,76.4,64.6,1.59,5720000,synthetic_training_sample,model_generated,,
Alex Rossi,Sporting SC,FB,Right,Africa,27,175,81.4,87.2,3051,0,1,0.06,0.02,3.81,14.3,76.2,14,2,3.6,20500,6,0,63.7,62,71.3,77.3,2.27,5700000,synthetic_training_sample,model_generated,,
Ivan Fernandez,Real Town,FB,Left,Africa,29,184,86.7,87.0,3024,0,1,0.1,0.14,5.91,10.76,80.4,18,3,1.3,31700,9,336,83.4,84,75.7,30.1,2.25,5690000,synthetic_training_sample,model_generated,,
Milan Costa,City Town,FB,Left,South America,21,179,82.2,83.1,3620,3,6,0.05,0.1,5.6,14.26,85.1,6,1,3.1,13400,4,405,75.0,76,69.8,45.7,1.89,5680000,synthetic_training_sample,model_generated,,
Karim Mendes,Sporting Club,DM,Right,UK/Ireland,25,187,77.0,78.6,3422,0,1,0.03,0.0,2.48,22.95,95.5,15,3,1.4,48600,6,244,79.2,76,83.1,61.2,2.06,5680000,synthetic_training_sample,model_generated,,
Yusuf Dubois,Athletic SC,ST,Right,EU,23,183,77.8,80.3,2859,10,1,0.18,0.03,4.12,12.28,71.1,18,2,0.9,15300,6,193,61.3,62,78.9,63.0,1.83,5670000,synthetic_training_sample,model_generated,,
Rafael Hansen,Olympique SC,DM,Right,South America,19,174,87.1,88.3,3529,2,1,0.01,0.1,3.44,15.9,76.6,55,7,1.8,14100,4,140,65.0,54,75.5,67.6,1.95,5660000,synthetic_training_sample,model_generated,,
Theo Popescu,Sporting SC,CB,Both,Africa,22,188,82.4,84.0,3477,4,1,0.06,0.02,2.96,6.08,76.4,11,2,2.0,21600,4,0,62.3,54,71.3,63.2,2.48,5660000,synthetic_training_sample,model_generated,,
Alex Aydin,Sporting Club,CB,Left,UK/Ireland,26,187,77.9,87.0,2888,1,0,0.19,0.05,3.11,6.11,78.4,25,3,1.1,19100,6,520,84.3,76,78.6,83.3,2.89,5660000,synthetic_training_sample,model_generated,,
Nico Silva,Racing SC,DM,Right,South America,25,183,81.8,86.2,3655,0,2,0.0,0.07,2.46,17.64,81.0,30,4,2.0,37800,7,769,80.4,76,69.5,48.8,1.92,5650000,synthetic_training_sample,model_generated,,
Rafael Hansen,United FC,W,Right,UK/Ireland,25,171,78.5,78.3,1934,4,5,0.29,0.18,7.57,13.31,79.6,2,0,2.1,9800,8,67,67.2,76,75.8,49.6,1.2,5650000,synthetic_training_sample,model_generated,,
Noah Petrov,Athletic CF,AM,Left,South America,28,165,79.1,78.3,2160,4,6,0.1,0.22,6.08,12.84,76.4,53,9,1.8,28300,6,758,88.1,91,66.7,24.7,1.54,5650000,synthetic_training_sample,model_generated,,
Elias Popescu,Olympique FC,CB,Left,Africa,27,182,78.3,76.8,2988,1,0,0.15,0.08,3.11,12.41,87.1,11,1,2.0,13800,9,771,96.9,91,70.2,23.4,1.67,5640000,synthetic_training_sample,model_generated,,
Elias Bennett,Sporting FC,FB,Right,Africa,22,177,87.5,88.3,3128,0,2,0.07,0.07,4.92,14.65,70.4,35,4,3.2,25900,5,0,55.7,69,66.8,45.6,2.13,5630000,synthetic_training_sample,model_generated,,
Enzo Moreau,Olympique Club,FB,Right,EU,26,180,85.6,83.0,2882,1,4,0.03,0.09,6.51,15.27,68.4,14,2,1.1,36200,13,295,64.2,84,76.4,31.4,1.16,5630000,synthetic_training_sample,model_generated,,
Enzo Kovac,Real CF,CB,Right,EU,25,183,71.1,78.0,2665,1,0,0.02,0.02,1.33,7.82,83.2,3,1,0.6,25800,5,244,88.2,96,60.1,84.5,1.58,5630000,synthetic_training_sample,model_generated,,
Milan Santos,United FC,DM,Left,South America,27,183,83.0,82.2,2560,2,3,0.13,0.07,4.46,18.02,91.9,14,2,2.7,21000,5,726,83.5,76,70.7,31.5,2.62,5620000,synthetic_training_sample,model_generated,,
Alex Rossi,City SC,CM,Right,South America,20,179,76.8,75.1,3526,1,3,0.03,0.06,5.55,17.03,88.9,9,1,1.2,33300,7,630,87.8,84,81.3,42.3,1.54,5610000,synthetic_training_sample,model_generated,,
Enzo Dubois,City Town,CM,Left,EU,31,182,83.2,89.0,3611,3,6,0.05,0.14,5.08,19.64,84.9,41,6,0.8,23700,10,0,69.7,76,84.2,64.9,1.66,5610000,synthetic_training_sample,model_generated,,
Yusuf Moreau,Real SC,FB,Left,EU,19,172,83.8,82.4,3360,1,0,0.07,0.12,4.6,15.35,74.7,0,0,2.3,29200,6,188,75.2,76,59.9,75.2,1.59,5600000,synthetic_training_sample,model_generated,,
Ivan Silva,Inter Club,CB,Right,UK/Ireland,30,184,85.6,87.1,3034,0,0,0.06,0.02,1.59,9.39,99.0,45,6,0.7,50700,11,331,74.6,84,86.9,33.0,1.98,5590000,synthetic_training_sample,model_generated,,
Nico Fernandez,United FC,CB,Right,UK/Ireland,19,184,83.0,82.5,3380,1,1,0.12,0.04,2.5,7.46,86.6,6,1,2.7,39000,7,698,95.4,84,76.7,50.0,1.77,5590000,synthetic_training_sample,model_generated,,
Adam Bennett,Olympique SC,W,Both,UK/Ireland,22,170,78.4,78.4,3262,5,6,0.21,0.12,6.83,11.63,88.7,12,2,0.3,10600,7,0,65.6,62,74.7,65.6,1.5,5590000,synthetic_training_sample,model_generated,,
Karim Garcia,Inter Club,FB,Right,Africa,21,170,79.2,82.2,3358,1,5,0.09,0.12,6.05,11.07,77.9,9,1,1.9,60000,6,891,94.8,91,66.9,68.4,1.73,5590000,synthetic_training_sample,model_generated,,
Leo Popescu,Athletic FC,AM,Right,Africa,20,178,79.7,79.2,2574,4,9,0.15,0.15,7.29,15.24,84.2,21,3,2.6,15200,3,0,64.1,69,94.4,46.3,1.7,5560000,synthetic_training_sample,model_generated,,
Hugo Silva,Olympique Town,AM,Right,UK/Ireland,20,181,76.6,77.9,3346,2,1,0.02,0.08,4.32,19.37,86.8,20,4,2.6,16500,2,608,100.0,84,79.7,59.9,1.98,5560000,synthetic_training_sample,model_generated,,
Yusuf Santos,Inter CF,CM,Right,South America,27,179,86.9,88.6,3778,4,3,0.12,0.17,6.63,20.68,94.2,33,4,1.7,32100,10,365,70.4,76,74.3,53.9,1.79,5560000,synthetic_training_sample,model_generated,,
Karim Popescu,Sporting FC,CM,Both,EU,31,181,84.9,84.9,3933,6,6,0.15,0.22,5.09,17.35,83.0,29,5,1.6,19700,9,797,88.3,91,70.6,24.6,1.38,5550000,synthetic_training_sample,model_generated,,
Hugo Rossi,City CF,DM,Both,EU,18,180,81.8,86.5,3114,1,2,0.14,0.09,2.24,23.19,83.8,35,5,3.8,14200,6,256,75.3,76,68.6,81.2,1.58,5540000,synthetic_training_sample,model_generated,,
Leo Mendes,Athletic FC,CM,Right,EU,26,180,79.7,78.6,2844,1,3,0.11,0.04,4.19,16.42,76.0,28,3,2.3,35500,13,346,75.5,69,68.4,39.8,1.0,5530000,synthetic_training_sample,model_generated,,
Enzo Fernandez,City FC,W,Right,Africa,25,181,75.7,80.8,2517,2,1,0.18,0.15,4.59,15.39,76.1,46,7,4.7,23700,2,764,83.2,84,67.8,56.5,2.01,5530000,synthetic_training_sample,model_generated,,
Hugo Hansen,Inter SC,CB,Left,EU,27,190,78.4,87.9,3070,1,0,0.02,0.0,1.56,7.9,84.7,15,2,2.2,17500,4,111,77.5,84,65.2,100.0,1.02,5520000,synthetic_training_sample,model_generated,,
Milan Okafor,Olympique Club,CM,Right,UK/Ireland,20,188,87.3,82.3,3887,6,7,0.1,0.23,5.97,18.26,90.5,13,2,0.6,21600,2,472,70.2,62,84.2,21.0,2.19,5510000,synthetic_training_sample,model_generated,,
Rafael Martinez,Racing Club,CB,Both,EU,25,197,80.6,80.5,3260,4,1,0.07,0.07,3.12,9.37,95.8,50,8,1.7,16700,8,169,86.5,91,93.2,39.5,1.32,5510000,synthetic_training_sample,model_generated,,
Elias Fernandez,Olympique Town,GK,Right,South America,22,194,84.5,84.7,3176,0,0,0.11,0.0,0.65,0.0,74.0,55,7,3.0,54000,8,624,87.4,84,69.5,49.7,1.58,5510000,synthetic_training_sample,model_generated,,
Enzo Schmidt,Olympique FC,FB,Left,EU,22,173,81.5,82.0,3337,1,2,0.04,0.1,5.69,15.37,79.5,27,3,2.1,22600,5,0,60.2,76,63.8,48.4,1.21,5500000,synthetic_training_sample,model_generated,,
Luca Mendes,Athletic FC,CB,Right,South America,25,185,83.2,81.4,3780,5,0,0.0,0.06,0.9,5.99,88.3,27,4,0.7,19300,7,97,75.9,84,81.1,29.3,1.11,5500000,synthetic_training_sample,model_generated,,
Yusuf Dubois,Racing Town,CB,Right,Africa,28,190,74.8,73.7,3030,0,0,0.01,0.0,3.11,5.82,74.8,12,2,2.5,17400,5,755,100.0,91,64.3,40.3,1.89,5500000,synthetic_training_sample,model_generated,,
Ivan Schmidt,United SC,W,Left,EU,30,167,82.9,81.9,3245,4,4,0.19,0.31,8.64,15.11,83.9,7,1,4.5,15500,11,0,69.0,54,71.1,13.3,1.21,5490000,synthetic_training_sample,model_generated,,
Mateo Dubois,City Club,FB,Right,EU,22,172,80.2,79.8,3289,0,1,0.01,0.1,3.86,15.51,81.0,9,1,2.9,26700,2,131,88.3,84,63.8,53.1,1.81,5490000,synthetic_training_sample,model_generated,,
Milan Martinez,Olympique Town,DM,Left,EU,30,171,84.0,90.1,3284,2,1,0.01,0.13,3.13,18.96,87.4,11,2,2.3,43600,10,625,74.3,69,72.9,72.7,1.93,5490000,synthetic_training_sample,model_generated,,
Theo Aydin,City SC,GK,Right,Asia,25,186,83.9,87.7,3397,0,0,0.11,0.03,0.0,0.0,63.5,2,0,1.3,47400,9,79,67.3,84,68.1,62.3,1.73,5480000,synthetic_training_sample,model_generated,,
Nico Martinez,Racing SC,AM,Right,Africa,23,176,76.8,82.1,3506,2,3,0.12,0.16,7.23,14.76,86.6,20,3,1.7,9600,4,8,65.9,76,68.0,80.7,1.55,5460000,synthetic_training_sample,model_generated,,
Theo Costa,United FC,DM,Right,South America,30,186,82.9,83.0,2833,1,1,0.05,0.17,4.31,17.32,83.4,22,4,3.9,27900,10,213,72.6,62,62.3,33.9,1.79,5460000,synthetic_training_sample,model_generated,,
Rafael Santos,Inter SC,CM,Right,UK/Ireland,22,182,79.7,80.6,2988,4,3,0.09,0.16,6.07,15.66,65.9,21,4,0.5,27800,9,71,76.7,76,70.7,53.6,2.01,5450000,synthetic_training_sample,model_generated,,
Nico Moreau,Athletic Club,DM,Right,South America,27,188,82.1,87.7,2684,0,2,0.04,0.07,3.86,15.73,74.4,9,1,1.2,19500,10,234,70.6,62,64.3,76.1,2.14,5450000,synthetic_training_sample,model_generated,,
Adam Hansen,Olympique FC,GK,Right,EU,24,196,80.3,89.2,3327,0,0,0.0,0.0,0.0,0.0,91.7,36,5,1.4,15600,10,394,64.1,62,56.7,81.4,1.32,5440000,synthetic_training_sample,model_generated,,
Luca Dubois,Real Club,W,Right,South America,23,177,72.8,73.4,3163,5,2,0.19,0.21,5.22,14.41,86.6,2,0,2.5,14500,2,747,87.3,84,61.3,61.2,2.16,5430000,synthetic_training_sample,model_generated,,
Nico Aydin,City SC,ST,Right,North America,24,181,78.7,75.5,2948,10,2,0.34,0.11,4.5,10.61,86.4,6,1,2.5,15600,9,0,62.7,69,64.3,20.3,2.39,5420000,synthetic_training_sample,model_generated,,
Hugo Kovac,Sporting Town,CB,Right,South America,21,196,74.7,83.6,1752,0,0,0.04,0.01,1.19,2.62,76.0,10,2,2.6,9500,1,500,88.7,76,69.5,95.2,1.89,5410000,synthetic_training_sample,model_generated,,
Milan Moreau,Olympique SC,FB,Right,EU,28,177,83.8,82.8,3202,1,8,0.09,0.14,6.03,17.67,84.1,2,0,1.0,28600,6,162,68.0,69,74.0,15.8,1.82,5400000,synthetic_training_sample,model_generated,,
Nico Mendes,Olympique SC,W,Right,South America,22,177,73.7,73.8,2615,3,4,0.21,0.11,5.69,9.29,86.1,1,0,2.3,10200,2,374,86.5,69,68.2,61.5,1.78,5400000,synthetic_training_sample,model_generated,,
Arda Schmidt,United SC,CM,Right,EU,26,181,83.0,80.5,3283,1,4,0.08,0.11,6.06,17.83,75.6,65,8,2.9,15400,7,0,57.6,62,62.9,39.4,1.8,5400000,synthetic_training_sample,model_generated,,
Mateo Kovac,City Town,AM,Right,EU,29,177,78.1,76.7,3088,2,4,0.13,0.26,6.81,21.14,88.2,39,6,0.9,19900,5,461,87.5,76,73.9,28.3,1.74,5400000,synthetic_training_sample,model_generated,,
Theo Garcia,Athletic Club,GK,Right,UK/Ireland,22,192,76.3,78.3,3121,0,0,0.03,0.11,0.54,0.0,93.0,9,1,4.0,38100,3,536,90.5,76,61.4,59.1,2.35,5390000,synthetic_training_sample,model_generated,,
Hugo Kovac,Athletic SC,DM,Both,EU,24,176,81.9,80.2,2679,2,2,0.0,0.14,4.61,14.37,85.5,30,4,1.9,22200,8,135,71.8,84,69.1,48.0,1.76,5380000,synthetic_training_sample,model_generated,,
Arda Costa,Inter CF,W,Right,EU,19,176,76.7,75.0,2503,3,5,0.12,0.22,7.22,17.63,99.0,5,1,3.3,16700,5,727,87.2,96,61.0,56.2,2.23,5370000,synthetic_training_sample,model_generated,,
Luca Fernandez,Olympique SC,FB,Right,Africa,23,180,84.2,82.9,3200,2,3,0.13,0.19,5.06,19.92,78.2,29,5,3.9,6100,6,0,60.0,69,78.9,43.1,2.03,5360000,synthetic_training_sample,model_generated,,
Adam Martinez,Inter Club,AM,Left,South America,27,168,80.3,76.3,3161,4,9,0.1,0.24,8.41,16.02,85.2,32,4,1.7,11300,9,0,66.1,69,80.6,30.2,1.54,5360000,synthetic_training_sample,model_generated,,
Oscar Garcia,Real CF,AM,Right,UK/Ireland,31,174,79.6,79.1,3113,3,9,0.12,0.21,6.17,14.84,82.1,10,2,1.3,30900,4,325,85.0,96,89.0,34.2,1.7,5340000,synthetic_training_sample,model_generated,,
Elias Bennett,Sporting Club,CB,Right,EU,28,196,90.3,87.8,3111,3,0,0.12,0.0,2.26,6.05,83.5,18,2,1.2,46600,7,375,74.1,62,79.1,20.6,1.69,5340000,synthetic_training_sample,model_generated,,
Oscar Okafor,Athletic FC,GK,Right,South America,23,195,82.1,83.3,3353,0,0,0.05,0.05,0.95,0.0,85.8,8,1,3.1,19100,12,635,86.9,76,67.6,44.8,2.04,5330000,synthetic_training_sample,model_generated,,
Luca Aydin,United SC,DM,Right,Africa,27,178,76.3,76.1,3054,1,2,0.02,0.12,3.15,18.88,95.6,2,0,3.0,18000,3,717,86.5,84,76.6,49.0,1.43,5330000,synthetic_training_sample,model_generated,,
Hugo Petrov,Inter SC,CB,Left,Asia,33,190,89.5,88.3,2370,0,0,0.1,0.1,2.52,9.12,64.4,34,4,3.0,57000,12,457,77.5,76,78.6,18.2,2.17,5330000,synthetic_training_sample,model_generated,,
Elias Martinez,Athletic Club,ST,Left,EU,23,176,74.4,80.4,1806,5,4,0.24,0.14,2.16,8.25,62.4,22,3,2.2,32200,4,112,77.4,62,76.9,79.0,1.94,5330000,synthetic_training_sample,model_generated,,
Mateo Rossi,Sporting SC,GK,Right,Africa,23,195,84.3,84.9,3611,0,0,0.03,0.0,1.25,0.65,87.8,34,4,3.5,29300,4,285,68.0,76,67.4,52.2,1.39,5310000,synthetic_training_sample,model_generated,,
Felix Hansen,Racing FC,CB,Right,EU,26,186,79.6,85.7,2810,2,2,0.13,0.02,2.08,6.16,80.7,4,1,1.2,22700,3,0,66.1,69,59.1,66.4,1.88,5300000,synthetic_training_sample,model_generated,,
Luca Fernandez,Athletic Town,CB,Left,EU,24,184,83.6,85.6,3179,0,1,0.05,0.05,1.71,8.33,86.5,2,0,0.9,13800,8,612,80.8,84,58.6,47.6,1.32,5300000,synthetic_training_sample,model_generated,,
